departamento,total_ips,poblacion_2025,ips_por_100mil_habitantes
CUNDINAMARCA,2073,11595305,17.88
ANTIOQUIA,994,6951825,14.3
VALLE DEL CAUCA,941,4652512,20.23
ATLÁNTICO,864,2845169,30.37
SANTANDER,706,2393214,29.5
BOLÍVAR,599,2278770,26.29
CÓRDOBA,461,1929336,23.89
CESAR,418,1414859,29.54
MAGDALENA,415,1529038,27.14
TOLIMA,384,1386826,27.69
BOYACÁ,371,1324122,28.02
NARIÑO,360,1719281,20.94
SUCRE,338,1016826,33.24
NORTE DE SANTANDER,301,1717992,17.52
META,295,1160351,25.42
CAUCA,266,1590171,16.73
RISARALDA,239,974639,24.52
CALDAS,238,1051282,22.64
HUILA,235,1205318,19.5
LA GUAJIRA,214,1073851,19.93
QUINDÍO,178,568560,31.31
CHOCÓ,167,615082,27.15
CASANARE,135,481938,28.01
PUTUMAYO,73,393988,18.53
CAQUETÁ,69,430884,16.01
ARAUCA,60,320723,18.71
SAN ANDRÉS,22,62181,35.38
GUAVIARE,17,103237,16.47
AMAZONAS,14,87480,16.0
GUAINÍA,8,59240,13.5
VICHADA,8,127467,6.28
VAUPÉS,3,49142,6.1
